Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
100 Peta Tempat Jajan dan Makan di Bogor,ogor,Text,,,,Gramedia Pustaka Utama,2008,,Buku Pegangan Wajib Pencinta Wisata Kuliner,641.5,,Jakarta,641.5,,,,<Lilly T.Erwin><Abang Erwin>,<Masak-makanan>,<T701521>
100 Pria yang Berpengaruh  di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,901.72,,Batam,901.72,,,,<Bill Yenne>,<Pengetahuan Dewasa>,<T701574>
100 Resep Baru Plus,Plus,Text,,,,Gaya Favorit Press,,,Femina,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703946><T703947>
100 Resep Es Campur & Minuman Segar,egar,Text,,,,Gramedia Pustaka Utama,2009,,Resep Masakan,641.8,,Jakarta,641.8,,,,<Dapur Kirana>,<Masak-minuman>,<T702666>
100 Resep Kue Kering,ring,Text,,,,Gramedia Pustaka Utama,2008,,Resep Masakan,641.8,,Jakarta,641.8,,,,<Liem>,<Masak-kue>,<T702665>
100 Resep Sop & Soto Indonesia,esia,Text,,,,Gramedia Pustaka Utama,2010,,Resep Masakan,641.6,,Jakarta,641.6,,,,<Dapur Kirana >,<Masak-makanan>,<T703792>
100 Taya Jawab Tentang Yesus,esus,Text,,,,Visimedia,2006,,Buku Kristen,232,,Tangerang,232,,,,<Daniel Robby>,<Buku Rohani>,<T701283>
100 Tokoh paling Berpengaruh Sepanjang Masa,Masa,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,901,,Batam,901,,,,<Michael H. Hart>,<Pengetahuan Dewasa>,<T700281>
100 Wanita yang Berpengaruh di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,901.72,,Batam,901.72,,,,<Gail Meyer Rolka>,<Pengetahuan Dewasa>,<T701570>
1000 Kata dan Gambar,mbar,Text,,,,Binarupa Aksara,1995,,Kamus Anak,403,,Jakarta,403,,,,<Richard Powell>,<Kamus>,<T702038>
1000 Kata Motivasi Ampuh,mpuh,Text,,,,Great! Publisher,2009,,Buku Rohani,248,,Yogyakarta,248,,,,<Great! Team>,<Buku Rohani>,<T702683>
101 Cerita Nusantara,tara,Text,,,,Trans Media,2009,,Kumpulan Dongeng,813,,Jakarta,813,,,,<Tim Optima Picture>,<Cerita Anak>,<T702537>
101 Dalmatians Anjing Salju,alju,Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Kecil,823,,,823,,,,<Mala Suhendra>,<Cerita Anak>,<T700062>
101 Eksperimen dengan Air, Air,Text,,,,Tiga Serangkai,2009,,101 Eksperimen,551.4,,Solo,551.4,,,,<Anita van Saan >,<Pengetahuan Anak>,<T704370>
101 Eksperimen dengan Tumbuhan,uhan,Text,,,,Tiga Serangkai,2009,,101 Eksperimen,580,,Solo,580,,,,<Anita van Saan >,<Pengetahuan Anak>,<T704369>
101 Masakan Lezat untuk Pemula,mula,Text,,,,Kriya Pustaka,2010,,Resep Masakan,641.5,,Jakarta,641.5,,,,<T S Dharmaputra >,<Masak-makanan>,<T703802>
101 Peluang Bisnis Sampngan Bagi Karyawan,awan,Text,,,,MedPress,2007,,Peluang Usaha,650,,Yogyakarta,650,,,,<Erick Namara >,<Umum>,<T703774>
112 Permaian Kreatif untuk Memotivasi Anak,Anak,Text,,,,Pustaka Bina Swadaya,2009,,Aktivitas,394.3,,Jakarta,394.3,,,,<Agus Supriyo>,<Aktivitas - Umum>,<T702534>
12 Dancing Princesses,sses,Text,,,,Gramedia Pustaka Utama,2008,,Barbie,823,,Jakarta,823,,,,<Mary Man-Kong >,<Cerita Anak>,<T704438>
123',123',Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700324>
125 Pahlawan Dan Pejuang Nusantara,tara,Text,,,,Pustaka Widyatama,2008,,Umum,900,,Yogyakarta,900,,,,<Gamal Komandoko>,<Pengetahuan Dewasa>,<T700948>
125 Pahlawan Dan Pejuang Nusantara - c2,#VALUE!,Text,,,,Pustaka Widyatama,2008,,Umum,900,,Yogyakarta,900,,,,<Gamal Komandoko>,<Pengetahuan Dewasa>,<T700949>
125 Pahlawan Dan Pejuang Nusantara - c3,#VALUE!,Text,,,,Pustaka Widyatama,2008,,Umum,900,,Yogyakarta,900,,,,<Gamal Komandoko>,<Pengetahuan Dewasa>,<T700950>
125 Pahlawan Dan Pejuang Nusantara - c4,#VALUE!,Text,,,,Pustaka Widyatama,2008,,Umum,900,,Yogyakarta,900,,,,<Gamal Komandoko>,<Pengetahuan Dewasa>,<T700951>
125 Pahlawan Dan Pejuang Nusantara - c5,#VALUE!,Text,,,,Pustaka Widyatama,2008,,Umum,900,,Yogyakarta,900,,,,<Gamal Komandoko>,<Pengetahuan Dewasa>,<T700952>
2 Of Me,f Me,Text,,,,Dari Mizan,2008,,Kecil -  Kecil Punya Karya,153.35,,Bandung,153.35,,,,<Izzati>,<Cerita Anak>,<T701156>
2 Of Me - c2,#VALUE!,Text,,,,Dari Mizan,2008,,Kecil -  Kecil Punya Karya,153.35,,Bandung,153.35,,,,<Izzati>,<Cerita Anak>,<T701157>
20 Kreasi Putih Telur,elur,Text,,,,Media Boga Utama,2008,,-,641.8,,Jakarta,641.8,,,,<Saji>,<Masak-kue>,<T700500>
21 Bisnis Sampingan Untuk Mahasiswa,iswa,Text,,,,Transmedia,2007,,Peluang Bisnis,650,,Jakarta,650,,,,<Rani Koswara>,<Umum>,<T700936>
22 Bisnis Sampingan Untuk Mahasiswa - c2,#VALUE!,Text,,,,Transmedia,2007,,Peluang Bisnis,650,,Jakarta,650,,,,<Rani Koswara>,<Umum>,<T700937>
25 Resep Sehat Berdasarkan Khasiat Warna Makanan,anan,Text,,,,Andi,2012,,Sehat Tapi Enak,,,Yogyakarta,,,,,<Yohanes Sunardi >,<Masak-makanan>,<T704886>
27 Tahun Sebagai Kristen Terselubung,bung,Text,,,,BPK Gunung Mulia,2001,,Seri Kesaksian,248,,Jakarta,248,,,,<Tim Penulis >,<Buku Rohani>,<T703882>
2700 Peribahasa Indonesia Plus Pantun,ntun,Text,,,,WahyuMedia,2007,,Peribahasa,398.9,,Jakarta,398.9,,,,<Ajen Dianawati>,<Kamus>,<T700558>
2700 Peribahasa Indonesia Plus Pantun - c2,#VALUE!,Text,,,,WahyuMedia,2007,,Peribahasa,398.9,,Jakarta,398.9,,,,<Ajen Dianawati>,<Kamus>,<T700934>
2701 Peribahasa Indonesia Plus Pantun - c3,#VALUE!,Text,,,,WahyuMedia,2008,,Peribahasa,398.9,,Jakarta,398.9,,,,<Ajen Dianawati>,<Kamus>,<T700935>
28 Kreasi Aksesori Corn Craft,raft,Text,,,,Gramedia Pustaka Utama,2009,,Kreativitas,745.5,,Jakarta,745.5,,,,<Henny Widjaja >,<Aktivitas - Umum>,<T703785>
3 Hari Jago Main Gitar,itar,Text,,,,Buku Kita,2009,,Kreatifitas,781,,Jakarta,781,,,,<Ainky>,<Aktivitas - Umum>,<T702199>
3:16 Angka Pengharapan,apan,Text,,,,Gloria Graffa,2008,,Buku Rohani,238,,Yogyakarta,238,,,,<Max Lucado>,<Buku Rohani>,<T701553>
30 Menit Memasak Makan Malam,alam,Text,,,,Pustaka Anggrek,2008,,Menu Favorit Siap Saji,641.5,,Yogyakarta,641.5,,,,<Tim Dapur Anggrek>,<Masak-makanan>,<T700652>
30 Menit Memasak Makan Siang,iang,Text,,,,Pustaka Anggrek,2008,,Menu Favorit Siap Saji,641.5,,Yogyakarta,641.5,,,,<Tim Dapur Anggrek>,<Masak-makanan>,<T700651>
30 Menu 2 Hidangan Masakan Bali,Bali,Text,,,,Gramedia Pustaka Utama,2010,,Buku Masakan,641.5,,Jakarta,641.5,,,,<Dewi Untari >,<Masak-makanan>,<T703507>
300 Game Kreatif,atif,Text,,,,Gradien Mediatama,2009,,Games,688.7,,Yogyakarta,688.7,,,,<Hendri Bun>,<Aktivitas - Umum>,<T703116>
31 Kreasi Corn Craft Karya Anak,Anak,Text,,,,Gramedia Pustaka Utama,2010,,Kreativitas,745.5,,Jakarta,745.5,,,,<Henny Indarti Widjaja>,<Aktivitas - Umum>,<T703784>
32 Boneka Kain Percak,rcak,Text,,,,Tiara Aksa,2007,,Kreasi,745.5,,Surabaya,745.5,,,,<Linda Gunawan>,<Aktivitas - Umum>,<T700552>
34 Bocah Superhero yang Menggemparkan Dunia,unia,Text,,,,Pusaka Makmur,,,,,,,,,,,<Yayang Yuananda >,<Pengetahuan Dewasa>,<T705011>
366 Alam dan Lingkungan,ngan,Text,,,,Karisma Publishing Group,,,Cerita,823,,,823,,,,<Anne Bonhormme>,<Cerita Anak>,<T700344>
366 Cerita Aneka Satwa Seluruh Dunia,unia,Text,,,,Karisma Publishing Group,2005,,Cerita Aneka Satwa,823,,Batam,823,,,,<Colin Clark>,<Cerita Anak>,<T700204>
366 Keajaiban Dunia,unia,Text,,,,Karisma Publishing Group,,,Cerita,823,,,823,,,,<Andree Bertino>,<Cerita Anak>,<T700345>
39 Kreasi Kartu Ucapan Cantik,ntik,Text,,,,Gramedia Pustaka Utama,2008,,Kreativitas,745.5,,Jakarta,745.5,,,,<Iva Hardiana >,<Aktivitas - Umum>,<T703781>
4 Hari Jago Manipulasi Photoshop,shop,Text,,,,Media Kita,2010,,Seri Komputer Grafis,770,,Jakarta,770,,,,<Asep Effendhy >,<Umum>,<T704240>
5 Terobosan menjadi Artis,rtis,Text,,,,Kepustakaan Majelis Budaya Rakyat,2007,,Pengetahuan,153.3,,Jakarta,153.3,,,,<Zak Sorga>,<Pengetahuan Dewasa>,<T702848>
50 Kreasi Bungkus Kado Cantik dan Unik,Unik,Text,,,,Gramedia Pustaka Utama,2010,,Terampil Membuat,745.5,,Jakarta,745.5,,,,<Iva Hardiana >,<Aktivitas - Umum>,<T704232>
50 Quick Team building Games,ames,Text,,,,Bhuana Ilmu Populer,2007,,Umum - Dewasa,688.7,,Jakarta,688.7,,,,<Brian Cole Miller>,<Umum>,<T700639>
500 Tanaman Hias Populer,uler,Text,,,,Gramedia Pustaka Utama,2008,,Pustaka Taman,638.9,,Jakarta,638.9,,,,<Evy Limin>,<Umum>,<T700615>
500 Tanaman Hias Populer,uler,Text,,,,Gramedia Pustaka Utama,2008,,Pustaka Taman,638.9,,Jakarta,638.9,,,,<Evy Limin>,<Umum>,<T700616>
60 hari Lancar Membaca,baca,Text,,,,Wahyu Media,2009,,ABC,372.4,,Jakarta,372.4,,,,<Arya Ajisaka>,<Aktivitas Anak>,<T702562>
7 Bola Kristal,stal,Text,,,,Gramedia Pustaka Utama,2008,,Petualangan Tintin,823,,Jakarta,823,,,,<Herge>,<Komik Bergambar>,<T701380>
7 Jemaat dalam Kitab Wahyu,ahyu,Text,,,,Media Injil Kerajaan,,,Buku Rohani,228,,Semarang,228,,,,<Yusak Tjipto Purnomo>,<Buku Rohani>,<T702862>
7 Kebiasaan Manusia yang Sangat Efektif - c3,#VALUE!,Text,,,,Binarupa Aksara,1994,,Buku Motivasi,170,,Jakarta,170,,,,<Stephen R. Covey>,<Umum>,<T703018>
7 Pokok Iman Anak _ Anak Yesus,esus,Text,,,,Visimedia,2006,,Buku Kristen,232,,Tangerang,232,,,,<Flavianus Darman>,<Buku Rohani>,<T701282>
7 Tanda Dahsyat Akhir Zaman,aman,Text,,,,Metanoia Publishing,2009,,Buku Rohani,236,,Jakarta,236,,,,<A H Mandey>,<Buku Rohani>,<T702685>
7 Tingkatan Sampai ke Tahta-Nya,#NAME?,Text,,,,Media Injil Kerajaan,2010,,Buku Rohani,248,,Semarang,248,,,,<Petrus Agung Purnomo >,<Buku Rohani>,<T704624>
77 Kebenaran yang Hakiki dalam Pelayanan,anan,Text,,,,Media Injil Kerajaan,,,Buku Rohani,248,,Semarang,248,,,,<Larry Keefauver>,<Buku Rohani>,<T703871>
81 Diet Sehat Golongan Darah A,ah A,Text,,,,Gramedia Pustaka Utama,2008,,Resep Sehat Alami Selera Indonesia,641.5,,Jakarta,641.5,,,,<Wied Harry Apriadji>,<Masak-makanan>,<T700459>
81 Diet Sehat Golongan Darah AB,h AB,Text,,,,Gramedia Pustaka Utama,2008,,Resep Sehat Alami Selera Indonesia,641.5,,Jakarta,641.5,,,,<Wied Harry Apriadji>,<Masak-makanan>,<T700458>
81 Diet Sehat Golongan Darah B,ah B,Text,,,,Gramedia Pustaka Utama,2008,,Resep Sehat Alami Selera Indonesia,641.5,,Jakarta,641.5,,,,<Wied Harry Apriadji>,<Masak-makanan>,<T700460>
81 Diet Sehat Golongan Darah O,ah O,Text,,,,Gramedia Pustaka Utama,2008,,Resep Sehat Alami Selera Indonesia,641.5,,Jakarta,641.5,,,,<Wied Harry Apriadji>,<Masak-makanan>,<T700457>
812 Resep Untuk Mengobati Penyakit,akit,Text,,,,Penebar Swadaya,2007,,Tanaman Obat,633.88,,Jakarta,633.88,,,,<H. Arief Hariana>,<Umum>,<T700539>
88 Variasi Adenium Agar Rajin Berbunga,unga,Text,,,,Penebar Swadaya,2007,,Tanaman Hias,635.93,,Jakarta,635.93,,,,<Octa Sugih>,<Umum>,<T700532>
9 Bulan yang Penuh Keajaiban,iban,Text,,,,Araska,2008,,Umum - Dewasa,612,,,612,,,,<Annia Kissanti>,<Umum>,<T700640>
99 % Lulus UASBN SD 2010,2010,Text,,,,C Media,2009,,Seri 5 Tahun,371.32,,Jakarta,371.32,,,,<Randi Renggana>< Dewi Rossalia>< Tutuk Rukmono>,<Buku Pelajaran>,<T703110>
99% Lulus UASBN SD 2010,2010,Text,,,,C Media,2009,,Seri 5 Tahun,371.32,,Jakarta,371.32,,,,<Randi Renggana>< Dewi Rossalia>< Tutuk Rukmono >,<Buku Pelajaran>,<T703298>
A Child Called 'It','It',Text,,,,Gramedia Pustaka Utama,2002,,Kisah Nyata,823,,Jakarta,823,,,,<Dave Pelzer>,<Umum>,<T704243>
A Cup of Chicken Soup for the Soul,Soul,Text,,,,Gramedia Pustaka Utama,2009,,Chicken Soup for the Soul,823,,Jakarta,823,,,,<Jack Canfield>< Mark Victor Hansen>< Barry Spilchuk>,<Cerita Dewasa>,<T702670>
A Friend for Phillipe (Sahabat untuk Phillipe),ipe),Text,,,,Gramedia Pustaka Utama,2009,,Disney Princess,823,,Jakarta,823,,,,<Lara Bergen>,<Cerita Anak>,<T702115>
A Life God Rewards,ards,Text,,,,Interaksara,2002,,Seri Terobosan,248,,Batam,248,,,,<Bruce Wilkinson>,<Buku Rohani>,<T701561>
A Man Named Dave,Dave,Text,,,,Gramedia Pustaka Utama,2002,,Kisah Nyata,823,,Jakarta,823,,,,<Dave Pelzer >,<Umum>,<T704244>
A Moment to Remember (Saat Istimewa),ewa),Text,,,,Gramedia Pustaka Utama,2006,,Disney Princess,823,,Jakarta,823,,,,<Catherine McCafferty>,<Cerita Anak>,<T701881>
A Promising Day, Day,Text,,,,Gramedia Pustaka Utama,2010,,Disney Princess,823,,Jakarta,823,,,,<S R Baecker >,<Cerita Anak>,<T703359>
A Shadow Warrior (Prajurit Bayangan),gan),Text,,,,Pustaka Lebah,2007,,Choose Your Adventure,823,,Jakarta,823,,,,<Tim Penulis>,<Cerita Anak>,<T702955>
A Story of Heroes 11,s 11,Text,,,,Elex Media Komputindo,2008,,Komik,741.3,,Jakarta,741.3,,,,<Choi Mir >,<Komik Bergambar>,<T704508>
A Story of Heroes 11 - c2,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Komik,741.3,,Jakarta,741.3,,,,<Choi Mir >,<Komik Bergambar>,<T704509>
A Story of Heroes 15,s 15,Text,,,,Elex Media Komputindo,2008,,Komik,741.3,,Jakarta,741.3,,,,<Choi Mir >,<Komik Bergambar>,<T704510>
A Storybook Life,Life,Text,,,,Gramedia Pustaka Utama,2007,,Disney Enchanted,823,,Jakarta,823,,,,<Tennant Redbank>,<Cerita Anak>,<T701357>
A Storybook Life,Life,Text,,,,Gramedia Pustaka Utama,2007,,Disney Enchanted,823,,Jakarta,823,,,,<Tennant Redbank >,<Cerita Anak>,<T703257>
A Stupid Fox, Fox,Text,,,,Rhythm Publishing Co,2000,,Popular Stories Series,823,,Penang,823,,,,<Tim Penulis>,<Cerita Anak>,<T702903>
A Very Lizzie Christmas ( Natal Ala Lizzie ),ie ),Text,,,,Gramedia Pustaka Utama,2004,,Novel,823,,Jakarta,823,,,,<Jasmine Jones>,<Novel / Fiksi>,<T701308>
"A Witch also Needs a Holiday, Sometimes",imes,Text,,,,Bhuana Ilmu Populer,2005,,Shirley The Good Little Witch,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701939>
A Wizard of Earthsea,hsea,Text,,,,Media Klasik Fantasi,2010,,The Earthsea Cycle,823,,Jakarta,823,,,,<Ursula K Le Guin >,<Novel / Fiksi>,<T704480>
A Wrinkle in Time,Time,Text,,,,Atria,2010,,Novel Fantasi,823,,Jakarta,823,,,,<Madeleine L'Engle >,<Novel / Fiksi>,<T704486>
ABC,ABC,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700323>
abc,abc,Text,,,,"Penerbitan Pelangi Sdn, Bhd",2004,,Picture Wonderland,153.1,,Johor Bahru,153.1,,,,<Tim Penulis>,<Aktivitas Anak>,<T702918>
Abraham Lincoln,coln,Text,,,,Elex Media Komputindo,2006,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Klara Siauw>,<Pengetahuan Anak>,<T700377>
Abraham Lincoln,coln,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Lie Chin Siu>,<Pengetahuan Anak>,<T702820>
Ada Apa di Atas?,tas?,Text,,,,Gramedia Pustaka Utama,1988,,Baby Disney,823,,Jakarta,823,,,,<Tim Penulis              >,<Cerita Anak>,<T702019>
Ada Kereta Berjalan di Atas Air, Air,Text,,,,Elex Media Komputindo,2008,,Aku Baru Tahu Kalau,388.4,,Jakarta,388.4,,,,<Kate Petty>,<Pengetahuan Anak>,<T700454>
Ada Kereta Berjalan di Atas Air - c2,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Aku Baru Tahu Kalau‰Û_.,388.4,,Jakarta,388.4,,,,<Kate Petty>,<Pengetahuan Anak>,<T700838>
Ada Kereta Berjalan di Atas Air - c3,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Aku Baru Tahu Kalau‰Û_.,388.4,,Jakarta,388.4,,,,<Kate Petty>,<Pengetahuan Anak>,<T700839>
Ade Takut Badut,adut,Text,,,,Tira Pustaka,1999,,Ira & Ari,813,,Jakarta,813,,,,<Chandra N Widjaja >,<Cerita Anak>,<T704533>
Adik Manis di Balik Pagar,agar,Text,,,,Penerbitan Sarana Bobo,,,Kumpulan Cerpen Bobo,813,,Jakarta,813,,,,<Tim Penulis >,<Cerita Anak>,<T704616>
Adik Perempuan Herry,erry,Text,,,,Indira,1990,,Sesame Street,823,,Jakarta,823,,,,<Emily Perl Kingsley>,<Cerita Anak>,<T702033>
Adil,Adil,Text,,,,Karisma Publishing Group,2008,,Seri Budi Pekerti,153.8,,Tangerang,153.8,,,,<Zayiah Abdullah/Jufaniza Kamin>,<Cerita Anak>,<T701692>
Adjectives (Kata Sifat),fat),Text,,,,Tiga Serangkai,2010,,Grammar Ray,422,,Solo,422,,,,<Andrew Carter >,<Aktivitas Anak>,<T704440>
Adonan Clay,Clay,Text,,,,Gramedia Pustaka Utama,2009,,Kreativitas,745.5,,Jakarta,745.5,,,,<Indira >,<Aktivitas - Umum>,<T703776>
"Aduh, Perutku Sakit",akit,Text,,,,Elex Media Komputindo,2008,,Rahasia Tubuh Kita,813,,Jakarta,813,,,,<Rani Maria>,<Cerita Anak>,<T700440>
Adverbs (Kata Keterangan),gan),Text,,,,Tiga Serangkai,2010,,Grammar Ray,422,,Solo,422,,,,<Andrew Carter >,<Aktivitas Anak>,<T704443>
"Agama, Mitologi, Filsafat, Sosial..",al..,Text,,,,Tiga Serangkai,2007,,Ensiklopedia Pengetahuan,30,,Solo,30,,,,<Tim Penulis >,<Pengetahuan Dewasa>,<T703750>
"Agama,Mitologi,Filsafat,Sosial,Sejarah Kesenian,Permainan & Rekreasi",easi,Text,,,,Tiga Serangkai,2007,,Ensiklopedia Pengetahuan,30,,Solo,30,,,,<Rosana Hariyanti>,<Pengetahuan Dewasa>,<T700514>
Agar Tanaman Cepat Berbuah,buah,Text,,,,AgroMedia Pustaka,2007,,Tanaman Buah,635,,Jakarta,635,,,,<F. Rahardi>,<Umum>,<T700538>
Agribisnis Tanaman Sayur,ayur,Text,,,,Penebar Swadaya,2008,,Tanaman Sayuran,635,,Jakarta,635,,,,<Tim Penulis PS>,<Umum>,<T700541>
Air,Air,Text,,,,Tira Pustaka,1986,,Pustaka Ilmu - Life,551.4,,Jakarta,551.4,,,,<Luna B. Leopold><Kenneth S. Davis>,<Pengetahuan Dewasa>,<T701742>
Air,Air,Text,,,,Elex Media Komputindo,2009,,Cerita Sains,551.2,,Jakarta,551.2,,,,<Sylvia Tanuadji>,<Cerita Anak>,<T702542>
Air & Mengapung,pung,Text,,,,Quality Press,,,Penemuan Ilmu Pengetahuan,627,,,627,,,,<Alan ward>,<Pengetahuan Anak>,<T700230>
Air Mata Buaya,uaya,Text,,,,Gramedia Pustaka Utama,2010,,Dongeng Tujuh Menit,813,,Jakarta,813,,,,<Clara Ng >,<Cerita Anak>,<T703348>
Air Terjun,rjun,Text,,,,Quality Press,,,Memahami Tentang Lingkungan,714,,,714,,,,<Jenny Wood>,<Pengetahuan Anak>,<T700260>
Ajakan Tuhan,uhan,Text,,,,BPK Gunung Mulia,1997,,Buku Rohani,248,,Jakarta,248,,,,<Marsudi Djojodipuro >,<Buku Rohani>,<T703884>
Aji Saka Suka Menolong,long,Text,,,,Serambi Ilmu Semesta,,,Little Serambi - The Best Cerita Rakyat,398.2,,,398.2,,,,<Ali Muakhir>,<Cerita Anak>,<T700051>
Aji Saka Suka Menolong - c2,#VALUE!,Text,,,,Serambi Ilmu Semesta,2008,,Little Serambi -The Best Cerita Rakyat,813,,Jakarta,813,,,,<Ali Muakhir>,<Cerita Anak>,<T702724>
Aksentuasi  Perpustakaan dan Pustakawan,awan,Text,,,,Ikatan Pustakawan Indonesia,2006,,Perpustakaan,27,,Jakarta,27,,,,<Supriyanto>,<Umum>,<T700561>
Aksesori & Perlengkapan Anak dari Kain Felt,Felt,Text,,,,Gramedia Pustaka Utama,2007,,Kreasi,745.5,,Jakarta,745.5,,,,<Emi Risma Imawati>,<Aktivitas - Umum>,<T700550>
Aksesori Cantik dari Anyaman Tali Cord,Cord,Text,,,,Gramedia Pustaka Utama,2007,,Terampil Membuat,745.5,,Jakarta,745.5,,,,<Iva Hardiana >,<Aktivitas - Umum>,<T703968>
Aksesori Manik,anik,Text,,,,Gramedia Pustaka Utama,2007,,Kreatifitas,745.5,,Jakarta,745.5,,,,<Mia Yusmita Gofar >,<Aktivitas - Umum>,<T703966>
Aktor-aktor Allah,llah,Text,,,,BPK Gunung Mulia,2009,,Buku Rohani,220.9,,Jakarta,220.9,,,,<Max Lucado>,<Buku Rohani>,<T703063>
Aku Akan Berusaha (I Will Try My Best),est),Text,,,,Radani Edutainment,2004,,Read Alone,813,,Jakarta,813,,,,<Dedey Natalia >,<Cerita Anak>,<T703207>
Aku Anak Jujur,ujur,Text,,,,AD-Print Mitra Pustaka,2013,,Seri Anak Cerdas,,,Bandung,,,,,<Anee Rahman>,<Pengetahuan Anak>,<T704926>
Aku Bisa,Bisa,Text,,,,Tiga Serangkai,2005,,Kecil-kecil Pintar Berbahasa,813,,Solo,813,,,,<Tim Kreatif TPP AL Firdaus >,<Cerita Anak>,<T703195>
Aku Bisa Jaga Rumah,umah,Text,,,,Dar! Mizan,,,Cerita Balita,813,,Bandung,813,,,,<Ali Muakhir >,<Cerita Anak>,<T704157>
Aku Bisa Makan Sendiri,diri,Text,,,,Dar! Mizan,2007,,Cerita Balita Mio,813,,Jakarta,813,,,,<Eka Wardhana>,<Cerita Anak>,<T703201>
